,Library_Occupancy,Students_Traveling,Students_In_Library,Students_In_Lecture,Students_Off_Campus
87,"{'Arts and Social Sciences': 475, 'Chemistry': 63, 'Education': 0, 'Medical': 48, 'Physics': 50, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 366, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 456}",0,2059,686,1255
88,"{'Arts and Social Sciences': 565, 'Chemistry': 77, 'Education': 0, 'Medical': 60, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 509, 'Beacon House': 418, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 524}",361,2384,0,1255
89,"{'Arts and Social Sciences': 565, 'Chemistry': 77, 'Education': 0, 'Medical': 60, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 510, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 625}",28,2487,0,1485
90,"{'Arts and Social Sciences': 593, 'Chemistry': 77, 'Education': 0, 'Medical': 60, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 510, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 625}",0,2515,0,1485
91,"{'Arts and Social Sciences': 593, 'Chemistry': 77, 'Education': 0, 'Medical': 60, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 510, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 625}",0,2515,0,1485
92,"{'Arts and Social Sciences': 593, 'Chemistry': 77, 'Education': 0, 'Medical': 58, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 507, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 623}",15,2508,0,1477
93,"{'Arts and Social Sciences': 596, 'Chemistry': 77, 'Education': 0, 'Medical': 58, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 507, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 627}",1,2515,0,1484
94,"{'Arts and Social Sciences': 596, 'Chemistry': 77, 'Education': 0, 'Medical': 58, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 508, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 627}",0,2516,0,1484
95,"{'Arts and Social Sciences': 596, 'Chemistry': 77, 'Education': 0, 'Medical': 58, 'Physics': 65, ""Queen's Building"": 159, 'Wills Memorial': 508, 'Beacon House': 419, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 627}",0,2516,0,1484
96,"{'Arts and Social Sciences': 0, 'Chemistry': 0, 'Education': 0, 'Medical': 0, 'Physics': 0, ""Queen's Building"": 0, 'Wills Memorial': 0, 'Beacon House': 0, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 0}",2816,0,0,1184
97,"{'Arts and Social Sciences': 632, 'Chemistry': 78, 'Education': 0, 'Medical': 98, 'Physics': 76, ""Queen's Building"": 168, 'Wills Memorial': 508, 'Beacon House': 426, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 415}",415,2401,0,1184
98,"{'Arts and Social Sciences': 632, 'Chemistry': 78, 'Education': 0, 'Medical': 98, 'Physics': 76, ""Queen's Building"": 168, 'Wills Memorial': 517, 'Beacon House': 427, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 641}",179,2637,0,1184
99,"{'Arts and Social Sciences': 714, 'Chemistry': 78, 'Education': 0, 'Medical': 100, 'Physics': 79, ""Queen's Building"": 168, 'Wills Memorial': 517, 'Beacon House': 427, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 641}",92,2724,0,1184
100,"{'Arts and Social Sciences': 596, 'Chemistry': 73, 'Education': 0, 'Medical': 84, 'Physics': 67, ""Queen's Building"": 140, 'Wills Memorial': 442, 'Beacon House': 373, 'Brambles and Hawthorns': 48, 'Grace Reeves': 36, 'Senate House': 563}",188,2422,361,1029
101,"{'Arts and Social Sciences': 597, 'Chemistry': 73, 'Education': 0, 'Medical': 84, 'Physics': 67, ""Queen's Building"": 140, 'Wills Memorial': 443, 'Beacon House': 373, 'Brambles and Hawthorns': 48, 'Grace Reeves': 36, 'Senate House': 563}",0,2424,546,1030
102,"{'Arts and Social Sciences': 597, 'Chemistry': 73, 'Education': 0, 'Medical': 84, 'Physics': 67, ""Queen's Building"": 140, 'Wills Memorial': 443, 'Beacon House': 373, 'Brambles and Hawthorns': 48, 'Grace Reeves': 36, 'Senate House': 563}",0,2424,546,1030
103,"{'Arts and Social Sciences': 597, 'Chemistry': 73, 'Education': 0, 'Medical': 84, 'Physics': 67, ""Queen's Building"": 140, 'Wills Memorial': 443, 'Beacon House': 373, 'Brambles and Hawthorns': 48, 'Grace Reeves': 36, 'Senate House': 563}",0,2424,546,1030
104,"{'Arts and Social Sciences': 583, 'Chemistry': 61, 'Education': 0, 'Medical': 79, 'Physics': 65, ""Queen's Building"": 148, 'Wills Memorial': 445, 'Beacon House': 352, 'Brambles and Hawthorns': 45, 'Grace Reeves': 36, 'Senate House': 521}",252,2335,518,895
105,"{'Arts and Social Sciences': 584, 'Chemistry': 61, 'Education': 0, 'Medical': 79, 'Physics': 65, ""Queen's Building"": 148, 'Wills Memorial': 445, 'Beacon House': 352, 'Brambles and Hawthorns': 45, 'Grace Reeves': 36, 'Senate House': 521}",0,2336,690,974
106,"{'Arts and Social Sciences': 584, 'Chemistry': 61, 'Education': 0, 'Medical': 79, 'Physics': 65, ""Queen's Building"": 148, 'Wills Memorial': 445, 'Beacon House': 352, 'Brambles and Hawthorns': 45, 'Grace Reeves': 36, 'Senate House': 521}",0,2336,690,974
107,"{'Arts and Social Sciences': 584, 'Chemistry': 61, 'Education': 0, 'Medical': 79, 'Physics': 65, ""Queen's Building"": 148, 'Wills Memorial': 445, 'Beacon House': 352, 'Brambles and Hawthorns': 45, 'Grace Reeves': 36, 'Senate House': 521}",0,2336,690,974
108,"{'Arts and Social Sciences': 581, 'Chemistry': 62, 'Education': 0, 'Medical': 79, 'Physics': 62, ""Queen's Building"": 151, 'Wills Memorial': 456, 'Beacon House': 381, 'Brambles and Hawthorns': 41, 'Grace Reeves': 36, 'Senate House': 513}",334,2362,451,853
109,"{'Arts and Social Sciences': 581, 'Chemistry': 62, 'Education': 0, 'Medical': 79, 'Physics': 62, ""Queen's Building"": 151, 'Wills Memorial': 456, 'Beacon House': 381, 'Brambles and Hawthorns': 41, 'Grace Reeves': 36, 'Senate House': 542}",0,2391,611,998
110,"{'Arts and Social Sciences': 581, 'Chemistry': 62, 'Education': 0, 'Medical': 79, 'Physics': 62, ""Queen's Building"": 151, 'Wills Memorial': 456, 'Beacon House': 381, 'Brambles and Hawthorns': 41, 'Grace Reeves': 36, 'Senate House': 542}",0,2391,611,998
111,"{'Arts and Social Sciences': 581, 'Chemistry': 62, 'Education': 0, 'Medical': 79, 'Physics': 62, ""Queen's Building"": 151, 'Wills Memorial': 456, 'Beacon House': 381, 'Brambles and Hawthorns': 41, 'Grace Reeves': 36, 'Senate House': 542}",0,2391,611,998
112,"{'Arts and Social Sciences': 555, 'Chemistry': 62, 'Education': 0, 'Medical': 72, 'Physics': 59, ""Queen's Building"": 143, 'Wills Memorial': 449, 'Beacon House': 377, 'Brambles and Hawthorns': 33, 'Grace Reeves': 32, 'Senate House': 476}",405,2258,489,848
113,"{'Arts and Social Sciences': 555, 'Chemistry': 62, 'Education': 0, 'Medical': 72, 'Physics': 59, ""Queen's Building"": 143, 'Wills Memorial': 450, 'Beacon House': 377, 'Brambles and Hawthorns': 33, 'Grace Reeves': 32, 'Senate House': 491}",0,2274,696,1030
114,"{'Arts and Social Sciences': 555, 'Chemistry': 62, 'Education': 0, 'Medical': 72, 'Physics': 59, ""Queen's Building"": 143, 'Wills Memorial': 450, 'Beacon House': 377, 'Brambles and Hawthorns': 33, 'Grace Reeves': 32, 'Senate House': 491}",0,2274,696,1030
115,"{'Arts and Social Sciences': 555, 'Chemistry': 62, 'Education': 0, 'Medical': 72, 'Physics': 59, ""Queen's Building"": 143, 'Wills Memorial': 450, 'Beacon House': 377, 'Brambles and Hawthorns': 33, 'Grace Reeves': 32, 'Senate House': 491}",0,2274,696,1030
116,"{'Arts and Social Sciences': 532, 'Chemistry': 59, 'Education': 0, 'Medical': 67, 'Physics': 63, ""Queen's Building"": 153, 'Wills Memorial': 433, 'Beacon House': 375, 'Brambles and Hawthorns': 26, 'Grace Reeves': 24, 'Senate House': 460}",387,2192,510,911
117,"{'Arts and Social Sciences': 532, 'Chemistry': 59, 'Education': 0, 'Medical': 67, 'Physics': 63, ""Queen's Building"": 153, 'Wills Memorial': 433, 'Beacon House': 375, 'Brambles and Hawthorns': 26, 'Grace Reeves': 24, 'Senate House': 477}",0,2209,690,1101
118,"{'Arts and Social Sciences': 532, 'Chemistry': 59, 'Education': 0, 'Medical': 67, 'Physics': 63, ""Queen's Building"": 153, 'Wills Memorial': 433, 'Beacon House': 375, 'Brambles and Hawthorns': 26, 'Grace Reeves': 24, 'Senate House': 477}",0,2209,690,1101
119,"{'Arts and Social Sciences': 532, 'Chemistry': 59, 'Education': 0, 'Medical': 67, 'Physics': 63, ""Queen's Building"": 153, 'Wills Memorial': 433, 'Beacon House': 375, 'Brambles and Hawthorns': 26, 'Grace Reeves': 24, 'Senate House': 477}",0,2209,690,1101
120,"{'Arts and Social Sciences': 518, 'Chemistry': 56, 'Education': 0, 'Medical': 60, 'Physics': 61, ""Queen's Building"": 151, 'Wills Memorial': 416, 'Beacon House': 384, 'Brambles and Hawthorns': 18, 'Grace Reeves': 21, 'Senate House': 437}",407,2122,498,973
121,"{'Arts and Social Sciences': 518, 'Chemistry': 56, 'Education': 0, 'Medical': 60, 'Physics': 61, ""Queen's Building"": 151, 'Wills Memorial': 416, 'Beacon House': 384, 'Brambles and Hawthorns': 18, 'Grace Reeves': 21, 'Senate House': 465}",0,2150,674,1176
122,"{'Arts and Social Sciences': 518, 'Chemistry': 56, 'Education': 0, 'Medical': 60, 'Physics': 61, ""Queen's Building"": 151, 'Wills Memorial': 416, 'Beacon House': 384, 'Brambles and Hawthorns': 18, 'Grace Reeves': 21, 'Senate House': 465}",0,2150,674,1176
123,"{'Arts and Social Sciences': 518, 'Chemistry': 56, 'Education': 0, 'Medical': 60, 'Physics': 61, ""Queen's Building"": 151, 'Wills Memorial': 416, 'Beacon House': 384, 'Brambles and Hawthorns': 18, 'Grace Reeves': 21, 'Senate House': 465}",0,2150,674,1176
124,"{'Arts and Social Sciences': 478, 'Chemistry': 50, 'Education': 0, 'Medical': 51, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 426, 'Beacon House': 380, 'Brambles and Hawthorns': 12, 'Grace Reeves': 15, 'Senate House': 428}",407,2048,502,1043
125,"{'Arts and Social Sciences': 478, 'Chemistry': 50, 'Education': 0, 'Medical': 51, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 426, 'Beacon House': 380, 'Brambles and Hawthorns': 12, 'Grace Reeves': 15, 'Senate House': 464}",0,2084,690,1226
126,"{'Arts and Social Sciences': 478, 'Chemistry': 50, 'Education': 0, 'Medical': 51, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 426, 'Beacon House': 380, 'Brambles and Hawthorns': 12, 'Grace Reeves': 15, 'Senate House': 464}",0,2084,690,1226
127,"{'Arts and Social Sciences': 478, 'Chemistry': 50, 'Education': 0, 'Medical': 51, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 426, 'Beacon House': 380, 'Brambles and Hawthorns': 12, 'Grace Reeves': 15, 'Senate House': 464}",0,2084,690,1226
128,"{'Arts and Social Sciences': 466, 'Chemistry': 40, 'Education': 0, 'Medical': 46, 'Physics': 51, ""Queen's Building"": 150, 'Wills Memorial': 446, 'Beacon House': 390, 'Brambles and Hawthorns': 8, 'Grace Reeves': 10, 'Senate House': 432}",388,2039,475,1098
129,"{'Arts and Social Sciences': 467, 'Chemistry': 40, 'Education': 0, 'Medical': 46, 'Physics': 51, ""Queen's Building"": 150, 'Wills Memorial': 446, 'Beacon House': 390, 'Brambles and Hawthorns': 8, 'Grace Reeves': 10, 'Senate House': 466}",0,2074,635,1291
130,"{'Arts and Social Sciences': 467, 'Chemistry': 40, 'Education': 0, 'Medical': 46, 'Physics': 51, ""Queen's Building"": 150, 'Wills Memorial': 446, 'Beacon House': 390, 'Brambles and Hawthorns': 8, 'Grace Reeves': 10, 'Senate House': 466}",0,2074,635,1291
131,"{'Arts and Social Sciences': 467, 'Chemistry': 40, 'Education': 0, 'Medical': 46, 'Physics': 51, ""Queen's Building"": 150, 'Wills Memorial': 446, 'Beacon House': 390, 'Brambles and Hawthorns': 8, 'Grace Reeves': 10, 'Senate House': 466}",0,2074,635,1291
132,"{'Arts and Social Sciences': 457, 'Chemistry': 44, 'Education': 0, 'Medical': 44, 'Physics': 45, ""Queen's Building"": 149, 'Wills Memorial': 438, 'Beacon House': 382, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 434}",360,1998,488,1154
133,"{'Arts and Social Sciences': 457, 'Chemistry': 44, 'Education': 0, 'Medical': 44, 'Physics': 45, ""Queen's Building"": 149, 'Wills Memorial': 438, 'Beacon House': 382, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 462}",0,2026,671,1303
134,"{'Arts and Social Sciences': 457, 'Chemistry': 44, 'Education': 0, 'Medical': 44, 'Physics': 45, ""Queen's Building"": 149, 'Wills Memorial': 438, 'Beacon House': 382, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 462}",0,2026,671,1303
135,"{'Arts and Social Sciences': 457, 'Chemistry': 44, 'Education': 0, 'Medical': 44, 'Physics': 45, ""Queen's Building"": 149, 'Wills Memorial': 438, 'Beacon House': 382, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 462}",0,2026,671,1303
136,"{'Arts and Social Sciences': 568, 'Chemistry': 55, 'Education': 0, 'Medical': 61, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 509, 'Beacon House': 421, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 517}",343,2355,0,1302
137,"{'Arts and Social Sciences': 569, 'Chemistry': 55, 'Education': 0, 'Medical': 61, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 512, 'Beacon House': 421, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 602}",20,2444,0,1536
138,"{'Arts and Social Sciences': 589, 'Chemistry': 55, 'Education': 0, 'Medical': 61, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 512, 'Beacon House': 421, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 602}",0,2464,0,1536
139,"{'Arts and Social Sciences': 589, 'Chemistry': 55, 'Education': 0, 'Medical': 61, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 512, 'Beacon House': 421, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 602}",0,2464,0,1536
140,"{'Arts and Social Sciences': 587, 'Chemistry': 55, 'Education': 0, 'Medical': 61, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 511, 'Beacon House': 421, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 598}",12,2457,0,1531
141,"{'Arts and Social Sciences': 588, 'Chemistry': 55, 'Education': 0, 'Medical': 62, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 511, 'Beacon House': 421, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 598}",3,2459,0,1538
142,"{'Arts and Social Sciences': 588, 'Chemistry': 55, 'Education': 0, 'Medical': 62, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 511, 'Beacon House': 422, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 600}",0,2462,0,1538
143,"{'Arts and Social Sciences': 588, 'Chemistry': 55, 'Education': 0, 'Medical': 62, 'Physics': 62, ""Queen's Building"": 157, 'Wills Memorial': 511, 'Beacon House': 422, 'Brambles and Hawthorns': 2, 'Grace Reeves': 3, 'Senate House': 600}",0,2462,0,1538
144,"{'Arts and Social Sciences': 0, 'Chemistry': 0, 'Education': 0, 'Medical': 0, 'Physics': 0, ""Queen's Building"": 0, 'Wills Memorial': 0, 'Beacon House': 0, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 0}",2799,0,0,1201
145,"{'Arts and Social Sciences': 626, 'Chemistry': 76, 'Education': 0, 'Medical': 108, 'Physics': 89, ""Queen's Building"": 168, 'Wills Memorial': 509, 'Beacon House': 430, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 409}",384,2415,0,1201
146,"{'Arts and Social Sciences': 626, 'Chemistry': 76, 'Education': 0, 'Medical': 108, 'Physics': 89, ""Queen's Building"": 168, 'Wills Memorial': 514, 'Beacon House': 432, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 638}",148,2651,0,1201
147,"{'Arts and Social Sciences': 717, 'Chemistry': 76, 'Education': 0, 'Medical': 114, 'Physics': 93, ""Queen's Building"": 168, 'Wills Memorial': 514, 'Beacon House': 432, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 638}",47,2752,0,1201
148,"{'Arts and Social Sciences': 603, 'Chemistry': 70, 'Education': 0, 'Medical': 96, 'Physics': 88, ""Queen's Building"": 151, 'Wills Memorial': 448, 'Beacon House': 371, 'Brambles and Hawthorns': 20, 'Grace Reeves': 23, 'Senate House': 545}",191,2415,343,1051
149,"{'Arts and Social Sciences': 603, 'Chemistry': 70, 'Education': 0, 'Medical': 96, 'Physics': 88, ""Queen's Building"": 151, 'Wills Memorial': 450, 'Beacon House': 371, 'Brambles and Hawthorns': 20, 'Grace Reeves': 23, 'Senate House': 546}",0,2418,530,1052
150,"{'Arts and Social Sciences': 603, 'Chemistry': 70, 'Education': 0, 'Medical': 96, 'Physics': 88, ""Queen's Building"": 151, 'Wills Memorial': 450, 'Beacon House': 371, 'Brambles and Hawthorns': 20, 'Grace Reeves': 23, 'Senate House': 546}",0,2418,530,1052
151,"{'Arts and Social Sciences': 603, 'Chemistry': 70, 'Education': 0, 'Medical': 96, 'Physics': 88, ""Queen's Building"": 151, 'Wills Memorial': 450, 'Beacon House': 371, 'Brambles and Hawthorns': 20, 'Grace Reeves': 23, 'Senate House': 546}",0,2418,530,1052
152,"{'Arts and Social Sciences': 598, 'Chemistry': 68, 'Education': 0, 'Medical': 87, 'Physics': 83, ""Queen's Building"": 150, 'Wills Memorial': 449, 'Beacon House': 370, 'Brambles and Hawthorns': 16, 'Grace Reeves': 23, 'Senate House': 517}",228,2361,471,940
153,"{'Arts and Social Sciences': 600, 'Chemistry': 68, 'Education': 0, 'Medical': 87, 'Physics': 83, ""Queen's Building"": 150, 'Wills Memorial': 449, 'Beacon House': 370, 'Brambles and Hawthorns': 16, 'Grace Reeves': 23, 'Senate House': 523}",0,2369,618,1013
154,"{'Arts and Social Sciences': 600, 'Chemistry': 68, 'Education': 0, 'Medical': 87, 'Physics': 83, ""Queen's Building"": 150, 'Wills Memorial': 449, 'Beacon House': 370, 'Brambles and Hawthorns': 16, 'Grace Reeves': 23, 'Senate House': 523}",0,2369,618,1013
155,"{'Arts and Social Sciences': 600, 'Chemistry': 68, 'Education': 0, 'Medical': 87, 'Physics': 83, ""Queen's Building"": 150, 'Wills Memorial': 449, 'Beacon House': 370, 'Brambles and Hawthorns': 16, 'Grace Reeves': 23, 'Senate House': 523}",0,2369,618,1013
156,"{'Arts and Social Sciences': 579, 'Chemistry': 63, 'Education': 0, 'Medical': 85, 'Physics': 75, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 375, 'Brambles and Hawthorns': 12, 'Grace Reeves': 18, 'Senate House': 495}",329,2296,494,881
157,"{'Arts and Social Sciences': 579, 'Chemistry': 63, 'Education': 0, 'Medical': 85, 'Physics': 75, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 375, 'Brambles and Hawthorns': 12, 'Grace Reeves': 18, 'Senate House': 519}",0,2320,675,1005
158,"{'Arts and Social Sciences': 579, 'Chemistry': 63, 'Education': 0, 'Medical': 85, 'Physics': 75, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 375, 'Brambles and Hawthorns': 12, 'Grace Reeves': 18, 'Senate House': 519}",0,2320,675,1005
159,"{'Arts and Social Sciences': 579, 'Chemistry': 63, 'Education': 0, 'Medical': 85, 'Physics': 75, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 375, 'Brambles and Hawthorns': 12, 'Grace Reeves': 18, 'Senate House': 519}",0,2320,675,1005
160,"{'Arts and Social Sciences': 569, 'Chemistry': 53, 'Education': 0, 'Medical': 73, 'Physics': 71, ""Queen's Building"": 150, 'Wills Memorial': 440, 'Beacon House': 381, 'Brambles and Hawthorns': 9, 'Grace Reeves': 17, 'Senate House': 484}",382,2247,507,864
161,"{'Arts and Social Sciences': 569, 'Chemistry': 53, 'Education': 0, 'Medical': 73, 'Physics': 71, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 381, 'Brambles and Hawthorns': 9, 'Grace Reeves': 17, 'Senate House': 519}",0,2283,684,1033
162,"{'Arts and Social Sciences': 569, 'Chemistry': 53, 'Education': 0, 'Medical': 73, 'Physics': 71, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 381, 'Brambles and Hawthorns': 9, 'Grace Reeves': 17, 'Senate House': 519}",0,2283,684,1033
163,"{'Arts and Social Sciences': 569, 'Chemistry': 53, 'Education': 0, 'Medical': 73, 'Physics': 71, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 381, 'Brambles and Hawthorns': 9, 'Grace Reeves': 17, 'Senate House': 519}",0,2283,684,1033
164,"{'Arts and Social Sciences': 531, 'Chemistry': 56, 'Education': 0, 'Medical': 69, 'Physics': 67, ""Queen's Building"": 152, 'Wills Memorial': 447, 'Beacon House': 364, 'Brambles and Hawthorns': 5, 'Grace Reeves': 13, 'Senate House': 488}",385,2192,530,893
165,"{'Arts and Social Sciences': 531, 'Chemistry': 56, 'Education': 0, 'Medical': 69, 'Physics': 67, ""Queen's Building"": 152, 'Wills Memorial': 447, 'Beacon House': 364, 'Brambles and Hawthorns': 5, 'Grace Reeves': 13, 'Senate House': 496}",0,2200,715,1085
166,"{'Arts and Social Sciences': 531, 'Chemistry': 56, 'Education': 0, 'Medical': 69, 'Physics': 67, ""Queen's Building"": 152, 'Wills Memorial': 447, 'Beacon House': 364, 'Brambles and Hawthorns': 5, 'Grace Reeves': 13, 'Senate House': 496}",0,2200,715,1085
167,"{'Arts and Social Sciences': 531, 'Chemistry': 56, 'Education': 0, 'Medical': 69, 'Physics': 67, ""Queen's Building"": 152, 'Wills Memorial': 447, 'Beacon House': 364, 'Brambles and Hawthorns': 5, 'Grace Reeves': 13, 'Senate House': 496}",0,2200,715,1085
168,"{'Arts and Social Sciences': 517, 'Chemistry': 62, 'Education': 0, 'Medical': 60, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 369, 'Brambles and Hawthorns': 3, 'Grace Reeves': 11, 'Senate House': 461}",411,2149,486,954
169,"{'Arts and Social Sciences': 517, 'Chemistry': 62, 'Education': 0, 'Medical': 60, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 369, 'Brambles and Hawthorns': 3, 'Grace Reeves': 11, 'Senate House': 500}",0,2188,659,1153
170,"{'Arts and Social Sciences': 517, 'Chemistry': 62, 'Education': 0, 'Medical': 60, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 369, 'Brambles and Hawthorns': 3, 'Grace Reeves': 11, 'Senate House': 500}",0,2188,659,1153
171,"{'Arts and Social Sciences': 517, 'Chemistry': 62, 'Education': 0, 'Medical': 60, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 369, 'Brambles and Hawthorns': 3, 'Grace Reeves': 11, 'Senate House': 500}",0,2188,659,1153
172,"{'Arts and Social Sciences': 502, 'Chemistry': 58, 'Education': 0, 'Medical': 50, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 379, 'Brambles and Hawthorns': 2, 'Grace Reeves': 7, 'Senate House': 454}",405,2110,474,1011
173,"{'Arts and Social Sciences': 502, 'Chemistry': 58, 'Education': 0, 'Medical': 50, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 453, 'Beacon House': 379, 'Brambles and Hawthorns': 2, 'Grace Reeves': 7, 'Senate House': 482}",0,2139,668,1193
174,"{'Arts and Social Sciences': 502, 'Chemistry': 58, 'Education': 0, 'Medical': 50, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 453, 'Beacon House': 379, 'Brambles and Hawthorns': 2, 'Grace Reeves': 7, 'Senate House': 482}",0,2139,668,1193
175,"{'Arts and Social Sciences': 502, 'Chemistry': 58, 'Education': 0, 'Medical': 50, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 453, 'Beacon House': 379, 'Brambles and Hawthorns': 2, 'Grace Reeves': 7, 'Senate House': 482}",0,2139,668,1193
176,"{'Arts and Social Sciences': 487, 'Chemistry': 53, 'Education': 0, 'Medical': 49, 'Physics': 50, ""Queen's Building"": 154, 'Wills Memorial': 442, 'Beacon House': 379, 'Brambles and Hawthorns': 1, 'Grace Reeves': 4, 'Senate House': 444}",351,2063,532,1054
177,"{'Arts and Social Sciences': 488, 'Chemistry': 53, 'Education': 0, 'Medical': 49, 'Physics': 50, ""Queen's Building"": 154, 'Wills Memorial': 443, 'Beacon House': 379, 'Brambles and Hawthorns': 1, 'Grace Reeves': 4, 'Senate House': 454}",0,2075,709,1216
178,"{'Arts and Social Sciences': 488, 'Chemistry': 53, 'Education': 0, 'Medical': 49, 'Physics': 50, ""Queen's Building"": 154, 'Wills Memorial': 443, 'Beacon House': 379, 'Brambles and Hawthorns': 1, 'Grace Reeves': 4, 'Senate House': 454}",0,2075,709,1216
179,"{'Arts and Social Sciences': 488, 'Chemistry': 53, 'Education': 0, 'Medical': 49, 'Physics': 50, ""Queen's Building"": 154, 'Wills Memorial': 443, 'Beacon House': 379, 'Brambles and Hawthorns': 1, 'Grace Reeves': 4, 'Senate House': 454}",0,2075,709,1216
180,"{'Arts and Social Sciences': 475, 'Chemistry': 46, 'Education': 0, 'Medical': 37, 'Physics': 46, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 367, 'Brambles and Hawthorns': 0, 'Grace Reeves': 2, 'Senate House': 418}",406,1982,536,1076
181,"{'Arts and Social Sciences': 475, 'Chemistry': 46, 'Education': 0, 'Medical': 37, 'Physics': 46, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 367, 'Brambles and Hawthorns': 0, 'Grace Reeves': 2, 'Senate House': 464}",0,2028,714,1258
182,"{'Arts and Social Sciences': 475, 'Chemistry': 46, 'Education': 0, 'Medical': 37, 'Physics': 46, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 367, 'Brambles and Hawthorns': 0, 'Grace Reeves': 2, 'Senate House': 464}",0,2028,714,1258
183,"{'Arts and Social Sciences': 475, 'Chemistry': 46, 'Education': 0, 'Medical': 37, 'Physics': 46, ""Queen's Building"": 151, 'Wills Memorial': 440, 'Beacon House': 367, 'Brambles and Hawthorns': 0, 'Grace Reeves': 2, 'Senate House': 464}",0,2028,714,1258
